2227.5539,25
2224.6214,24
2221.6508,23
2218.6416,22
2215.6161,21
2212.5208,20
2209.4054,19
2206.2562,18
2203.0653,17
2199.8404,16
2196.5730,15
2193.2597,14
2189.9212,13
2186.5421,12
2183.1289,11
2179.6749,10
2176.1891,9
2172.6601,8
2169.1084,7
2165.5045,6,,,,,,,
2161.8748,5,,,,,,,
2158.2143,4,,,,,,,
2154.5016,3,,,,,,,
2150.7567,2,,,,,,,
2146.9993,1,,,,,,,
2139.3320,-1,,,,,,,
2135.4596,-2,,,,,,,
2131.5348,-3,,,,,,,
2127.5952,-4,,,,,,,
2123.6142,-5,,,,,,,
2119.5978,-6,,,,,,,
2115.5303,-7,,,,,,,
2111.4576,-8,,,,,,,
2107.3372,-9,,,,,,,
2103.1790,-10,,,,,,,
2098.9985,-11,,,,,,,
2094.7692,-12,,,,,,,
2090.5117,-13,,,,,,,
2086.2356,-14,,,,,,,
2081.9073,-15,,,,,,,
2077.5190,-16,,,,,,,
2073.2227,-17,,,,,,,
2068.7568,-18,,,,,,,
2064.3214,-19,,,,,,,
2059.8310,-20,,,,,,,
2055.3101,-21,,,,,,,
2050.7592,-22,,,,,,,
2046.1417,-23,,,,,,,
2041.5902,-24,,,,,,,
2036.9773,-25,,,,,,,
